North,South,0,5,10,15,20,25,30,35,40,45,50,55,60
1,7,0.27,0.27,0.26,0.26,0.25,0.24,0.24,0.23,0.22,0.2,0.19,0.17,0.15
2,8,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.21,0.2
3,9,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26
4,10,0.27,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.31,0.32,0.32
5,11,0.27,0.28,0.28,0.29,0.29,0.3,0.31,0.31,0.32,0.34,0.34,0.36,0.38
6,12,0.27,0.28,0.29,0.29,0.3,0.31,0.32,0.32,0.34,0.35,0.36,0.39,0.41
7,1,0.27,0.28,0.29,0.29,0.3,0.31,0.31,0.32,0.33,0.34,0.35,0.38,0.4
8,2,0.27,0.28,0.28,0.28,0.29,0.29,0.3,0.3,0.31,0.32,0.32,0.33,0.34
9,3,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
10,4,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.22
11,5,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.23,0.22,0.21,0.2,0.18,0.17
12,6,0.27,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.21,0.2,0.18,0.16,0.13
