Time,P/P24,Depth,Inc. Depth
10.5,0.20526909534627902,0.0,0.0
10.75,0.21895599136629434,0.1578913026536072,0.1578913026536072
11.0,0.23498712095042346,0.3428255587000772,0.18493425604646999
11.25,0.25457978708207823,0.5688455104451859,0.22601995174510875
11.5,0.2803735682704391,0.8664011948192564,0.29755568437407043
11.75,0.3204711311342354,1.3289645418733549,0.4625633470540985
12.0,0.5,3.4,2.0710354581266452
12.25,0.6795288688657646,5.471035458126645,2.071035458126645
12.5,0.7196264317295609,5.933598805180743,0.46256334705409863
12.75,0.7454202129179217,6.231154489554814,0.2975556843740703
13.0,0.7650128790495765,6.457174441299922,0.22601995174510847
13.25,0.7810440086337056,6.642108697346392,0.18493425604646951
13.5,0.794730904653721,6.8,0.15789130265360818
